Establishment,Full Address,Business Ownership,Inspection Focus,NAICS Code,Inspection Purpose,Union Status,Employee Count,Inspection Start Date
"FISERV SOLUTIONS, LLC","1169 CANTON RD, MARIETTA, GA, 30066",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,250,2024-03-04
GLOBAL X DIGITAL,"7725 WEST RENO AVENUE, OKLAHOMA CITY, OK, 73127",Private Sector,Safety,518210,Referral,Non-Union,21,2024-05-08
DARTPOINTS OPERATING COMPANY,"565 METRO PLACE SOUTH, STE 300, DUBLIN, OH, 43017",Private Sector,Safety,518210,Referral,Non-Union,3,2024-05-14
"DARTPOINTS OPERATING COMPANY, LLC","100 TECHNOLOGY DR., STE. C, BILTMORE FOREST, NC, 28803",Private Sector,Safety,518210,Referral,Non-Union,7,2024-06-03
AI DATA INNOVATION CORPORATION,"15032 NE 95TH ST., REDMOND, WA, 98052",Private Sector,Safety,518210,Referral,Non-Union,3,2024-06-28
EXACORE STAFFING LLC,"8135 U.S. HWY 190, IRAAN, TX, 79744",Private Sector,Safety,518210,Referral,Non-Union,15,2024-07-17
IVY TECHNOLOGY,"3745 BAYSHORE BLVD, BRISBANE, CA, 94005",Private Sector,Safety,518210,Accident,Non-Union,90,2024-08-08
MICROSOFT,"5855 SW KERRY ST., CUMMING, IA, 50061",Private Sector,Health,518210,Unprogrammed Related,Non-Union,110,2024-09-04
CONTINENTAL CURRENCY SERVICES INC.,"2417 E CESAR CHAVEZ AVE, LOS ANGELES, CA, 90033",Private Sector,Safety,518210,Accident,Non-Union,3,2024-09-30
"WORKSIMPLI SOFTWARE, LLC","1225 PONCE DE LEON AVE, SUITE 1001 VIG TOWER, SAN JUAN, PR, 00907",Private Sector,Health,518210,Complaint,Non-Union,33,2024-10-04
VRC COMPANIES LLC,"1702 BOICE POND ROAD SUITE 300, ORLANDO, FL, 32837",Private Sector,Safety,518210,Referral,Non-Union,14,2024-10-25
CONCEPT PACKAGING GROUP,"3034 ASHLEY PHOSPHATE ROAD SUITE B, NORTH CHARLESTON, SC, 29406",Private Sector,Safety,518210,Referral,Non-Union,54,2024-11-21
POLARIS TECHNOLOGY INC,"4800 SOUTH 24TH STREET WEST, MUSKOGEE, OK, 74401",Private Sector,Safety,518210,Referral,Non-Union,30,2024-12-03
"SIMPLE MINING, LLC","3 UTILITY PARKWAY, CEDAR FALLS, IA, 50613",Private Sector,Safety,518210,Referral,Non-Union,40,2024-12-19
"EPSILON DATA MANAGEMENT, LLC","1240 NORTH AVENUE WEST, WEST CHICAGO, IL, 60185",Private Sector,Safety,518210,Complaint,Non-Union,270,2025-01-22
500 N 4TH STREET LLC,"47201 CO RD 273, CONESVILLE, OH, 43811",Private Sector,Safety,518210,Referral,Non-Union,10,2025-01-22
"SOUTHWESTERN BELL TELEPHONE COMPANY, LLC","418 CENTER STREET, DEER PARK, TX, 77536",Private Sector,Safety,518210,Complaint,Union,10,2025-02-12
IP PHONE WAREHOUSE,"316 NORTH MILWAUKEE STREET, MILWAUKEE, WI, 53202",Private Sector,Safety,518210,Planned,Non-Union,1,2025-03-05
BLOCK MINING INC,"1542 N MAIN ST, CALVERT CITY, KY, 42029",Private Sector,Health,518210,Referral,Non-Union,5,2025-03-14
"T5 DATA CENTERS, LLC","39800 EUREKA DRIVE, NEWARK, CA, 94560",Private Sector,Health,518210,Fatality/Catastrophe,Non-Union,100,2025-03-24
"CHARTER COMMUNICATIONS, LLC","1204 AVENUE B, SCOTTSBLUFF, NE, 69361",Private Sector,Safety,518210,Follow-Up,Non-Union,50,2025-05-07
DATA CLEAN LLC,"55250 WALNUT ROAD, NEW CARLISLE, IN, 46552",Private Sector,Safety,518210,Referral,Non-Union,15,2025-05-09
"T5 DATA CENTERS, LLC","8171 JIM CHRISTAL ROAD, DENTON, TX, 76207",Private Sector,Safety,518210,Referral,Non-Union,30,2025-06-26
CONTINENTAL SUPERIOR TRI -CITY LLC,"31000 INDIAN HWY 2, NEW CARLISLE, IN, 46552",Private Sector,Safety,518210,Referral,Union,505,2025-06-30
"BRIGHTSPEED FIBER SERVICES, LLC","1500 PINEY GROOVE RD, KERNERSVILLE, NC, 27284",Private Sector,Safety,518210,Referral,Non-Union,0,2025-07-02
DATA SYSTEM SERVICES LLC,"34200 MOUND ROAD, STERLING HEIGHTS, MI, 48310",Private Sector,Health,518210,Referral,Non-Union,100,2025-07-08
ORIENT OASIS LLC,"5280 W HWY 18 B, LEACHVILLE, AR, 72438",Private Sector,Safety,518210,Complaint,Non-Union,2,2025-07-23
TTEC SERVICES CORPORATION,"3700 SOUTH MARYLAND PARKWAY, LAS VEGAS, NV, 89169",Private Sector,Safety,518210,Referral,Non-Union,276,2025-08-14
EXACORE STAFFING LLC,"8135 U.S. HWY 190, IRAAN, TX, 79744",Private Sector,Safety,518210,Complaint,Non-Union,18,2025-08-21
"WELLS FARGO BANK, NATIONAL ASSOCIATION","22588 RELOCATION DRIVE, STERLING, VA, 20166",Private Sector,Safety,518210,Referral,Non-Union,20,2025-10-24
"SIMPLE MINING, LLC","1004 GRANT STREET, MANCHESTER, IA, 52057",Private Sector,Safety,518210,Referral,Non-Union,4,2026-01-06
"META PLATFORMS TECHNOLOGIES, LLC","131 15TH STREET, PITTSBURGH, PA, 15222",Private Sector,Safety,518210,Programmed Related,Non-Union,137,2026-01-07
"COMPASS MINING, INC","2204 320TH ST., HOPKINTON, IA, 52237",Private Sector,Safety,518210,Referral,Non-Union,1,2026-02-02
WALBRIDGE ALDINGER,"31100 STATE ROUTE 2, NEW CARLISLE, IN, 46552",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,1364,2026-02-04
"KOR SYSTEMS, LLC","5501 W NORTHGATE RD, ROGERS, AR, 72758",Private Sector,Safety,518210,Planned,Non-Union,10,2026-02-11
PATRICK INDUSTRIES,"4930 BECK DRIVE, ELKHART, IN, 46516",Private Sector,Safety,518210,Complaint,Non-Union,450,2026-02-12
"QTS DATACENTERS, LP","22280 RANDOLPH DRIVE, STERLING, VA, 20166",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,1,2026-02-13
"SOUTH DAKOTA NETWORK, LLC","4601 US 16, RAPID CITY, SD, 57701",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,2,2026-02-19
"ALLEVITY, INC.","870 MANZANITA COURT, CHICO, CA, 95926",Private Sector,Health,518210,Referral,Non-Union,10,2026-03-04
ARAMARK MANAGEMENT SERVICES LIMITED PARTNERSHIP,"30850 ALFRED SLOAN RD, WARREN, MI, 48093",Private Sector,Health,518210,Unprogrammed Related,Non-Union,9,2026-03-10
"GENERAL MOTORS GLOBAL TECHNICAL CENTER, GM IT DATA CENTER","30850 ALFRED SLOAN RD, WARREN, MI, 48093",Private Sector,Health,518210,Referral,Union,16,2026-03-10
CEC FACILITIES GROUP,"1800 HIGH PLNS RD., CHEYENNE, WY, 82007",Private Sector,Safety,518210,Referral,Non-Union,1700,2026-04-07
